diploma;position;programming_skill;matplotlib;seaborn;plotly;geoplotlib;no_dataviz;scikitlearn;tensorflow;keras;pytorch;fastai;no_machine_learning;linear_regression;decision_trees_or_random_forests;gradient_boosting;dense_neural_networks;convolutional_neural_networks;no_machine_learning_algorithm;main_activity_data_analyze;main_activity_build_run_data_infrastructure;main_activity_build_prototype_for_machine_learning;main_activity_improvement_of_machine_learning_model
Master’s degree;Data Scientist;Python;Matplotlib;;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;;TensorFlow;;;;;;;;;Convolutional Neural Networks;;;;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;;PyTorch;;;;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;;
Some college/university study without earning a bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;Experimentation and iteration to improve existing ML models
Doctoral degree;Data Analyst;Python;Matplotlib;;;;;Scikit-learn;;;PyTorch;;;;;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;Python;;;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Machine Learning Engineer;Python;;;;;None;;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;;
Some college/university study without earning a bachelor’s degree;Machine Learning Engineer;Python;;;;;;Scikit-learn;TensorFlow;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Doctoral degree;Machine Learning Engineer;Python;;;;;;;TensorFlow;;PyTorch;;;;;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;;;;;;TensorFlow;;PyTorch;;;;;;;Convolutional Neural Networks;;;;;
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;;;;
Master’s degree;Data Scientist;Python;;;;;;;;;;;;;;;;;;;;;
Bachelor’s degree;Data Scientist;R;;;Plotly / Plotly Express;;;;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;R;;;;;;;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;;;Plotly / Plotly Express;Geoplotlib;;Scikit-learn;;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;;;;;;;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Scientist;Python;;;;;;;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;SQL;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;PyTorch;Fast.ai;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;;;;;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Doctoral degree;Data Scientist;R;;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;;;;
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;;;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;;
Professional degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;;;;;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Analyst;Python;;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;Keras;;;;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Scientist;R;;;;;;;;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;;;;;;None;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Machine Learning Engineer;Python;;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;Fast.ai;;Linear or Logistic Regression;;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Some college/university study without earning a bachelor’s degree;Data Analyst;Python;;;;;;;;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Bachelor’s degree;Data Scientist;;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Doctoral degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;;;;;;None;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Professional degree;Machine Learning Engineer;Python;Matplotlib;;;;;;;Keras;PyTorch;Fast.ai;;Linear or Logistic Regression;;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;Python;;;;;;;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Doctoral degree;Machine Learning Engineer;Python;Matplotlib;;Plotly / Plotly Express;;;Scikit-learn;;;PyTorch;Fast.ai;;;;;;Convolutional Neural Networks;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;SQL;;;Plotly / Plotly Express;;;Scikit-learn;;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Machine Learning Engineer;C++;Matplotlib;;;;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;;;;;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;Experimentation and iteration to improve existing ML models
Some college/university study without earning a bachelor’s degree;Data Analyst;;;;;;;;;;;;;;;;;;;;;;
Professional degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Analyst;R;Matplotlib;;;;;;;;;;;;;;;;;;;;
Doctoral degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Engineer;Python;;Seaborn;;;;Scikit-learn;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;R;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Machine Learning Engineer;;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;R;;;;Geoplotlib;;Scikit-learn;;Keras;;Fast.ai;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;PyTorch;;;;;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;R;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;PyTorch;Fast.ai;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Doctoral degree;Data Scientist;Python;Matplotlib;;;Geoplotlib;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Doctoral degree;Machine Learning Engineer;R;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;Fast.ai;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Doctoral degree;Data Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;;;
Doctoral degree;Data Scientist;Python;Matplotlib;;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Engineer;Python;Matplotlib;;;;;Scikit-learn;;;;;;;Decision Trees or Random Forests;;;;;;;;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Professional degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;;
Master’s degree;Data Scientist;Python;Matplotlib;;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Bash;;;;;;;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;C++;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Analyst;R;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Machine Learning Engineer;R;;;;;;;;;;;;;;;;;;;;;
Bachelor’s degree;Data Scientist;Python;;;Plotly / Plotly Express;;;Scikit-learn;;;;;;;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Analyst;Python;Matplotlib;;;;;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;;Geoplotlib;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;R;Matplotlib;Seaborn;;;;;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Analyst;Python;;;;;None;;;;PyTorch;;;;;;;;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Doctoral degree;Machine Learning Engineer;Python;Matplotlib;;;;;;TensorFlow;Keras;;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;Geoplotlib;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Analyst;Python;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Scientist;R;Matplotlib;;;;;;TensorFlow;;;;;;Decision Trees or Random Forests;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;Python;;;;;;;;;;;;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Analyst;Python;;Seaborn;;Geoplotlib;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Analyst;SQL;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;R;;Seaborn;Plotly / Plotly Express;Geoplotlib;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Engineer;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Javascript;;;;;None;;TensorFlow;;;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;;;;;;None;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;PyTorch;Fast.ai;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;;;;;;;;Convolutional Neural Networks;;;;;
I prefer not to answer;Data Scientist;Python;Matplotlib;;;;;;TensorFlow;;;;;Linear or Logistic Regression;;;Dense Neural Networks (MLPs, etc);;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Doctoral degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;;PyTorch;;;Linear or Logistic Regression;;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Doctoral degree;Data Analyst;Python;;;;;;;;;;;;;;;;;;;;;
Doctoral degree;Data Analyst;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
