index;age;gender;country;diploma;job;years_writting_code;most_recommended_langage;plateform_used_for_datascience;tpu_used;years_of_use_of_ml;company_size;how_many_ppl_work_on_ml;do_your_company_use_ml;salary;money_spent_in_ml;bigdata_product_used;bi_tool_used;tool_you_use_to_analyse_data
5004;18-21;Man;Viet Nam;Some college/university study without earning a bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;No (we do not use ML methods);2,000-2,999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
5005;50-54;Man;Other;Doctoral degree;Machine Learning Engineer;20+ years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;5-10 years;0-49 employees;3-4;We use ML methods for generating insights (but do not put working models into production);150,000-199,999;$10,000-$99,999;;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5006;30-34;Man;China;Master’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;2-3 years;0-49 employees;0;We use ML methods for generating insights (but do not put working models into production);$0-999;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5007;25-29;Man;Canada;Master’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;I do not know;;;;;
5008;30-34;Man;Brazil;Master’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;;;;;;;;;;
5009;35-39;Man;Romania;Bachelor’s degree;Data Scientist;3-5 years;R;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;3-4 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);15,000-19,999;$1000-$9,999;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
5010;45-49;Man;United States of America;Master’s degree;Data Scientist;20+ years;R;A personal computer or laptop;Never;4-5 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);200,000-249,999;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
5011;40-44;Woman;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;0;We use ML methods for generating insights (but do not put working models into production);50,000-59,999;$1000-$9,999;;Microsoft Power BI;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5012;45-49;Man;Italy;Master’s degree;Data Analyst;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;4-5 years;250-999 employees;0;We are exploring ML methods (and may one day put a model into production);40,000-49,999;$1000-$9,999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5013;30-34;Man;Canada;Master’s degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;4-5 years;10,000 or more employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);125,000-149,999;$100-$999;Google Cloud BigQuery ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
5014;25-29;Woman;Pakistan;Master’s degree;Data Scientist;I have never written code;;;;;0-49 employees;0;We are exploring ML methods (and may one day put a model into production);$0-999;$100-$999;;;
5015;30-34;Man;United States of America;Master’s degree;Data Scientist;10-20 years;Python;A personal computer or laptop;Never;10-20 years;10,000 or more employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);100,000-124,999;$1000-$9,999;Microsoft SQL Server ;;Local development environments (RStudio, JupyterLab, etc.)
5016;22-24;Man;United States of America;Master’s degree;Machine Learning Engineer;3-5 years;SQL;A personal computer or laptop;Never;1-2 years;50-249 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);40,000-49,999;$1000-$9,999;MySQL ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
5017;30-34;Man;United States of America;Master’s degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;5-10 years;0-49 employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;$100,000 or more ($USD);MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
5018;25-29;Man;Canada;Bachelor’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Never;1-2 years;50-249 employees;1-2;We are exploring ML methods (and may one day put a model into production);30,000-39,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5019;35-39;Man;United States of America;Doctoral degree;Data Scientist;10-20 years;R;A personal computer or laptop;2-5 times;5-10 years;50-249 employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5020;25-29;Man;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;;;;;;
5021;25-29;Man;Other;Master’s degree;Data Analyst;1-2 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;1-2 years;1000-9,999 employees;10-14;We recently started using ML methods (i.e., models in production for less than 2 years);15,000-19,999;$1000-$9,999;;Tableau;Local development environments (RStudio, JupyterLab, etc.)
5022;35-39;Man;United States of America;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;2-5 times;10-20 years;10,000 or more employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);125,000-149,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5023;25-29;Woman;Japan;Master’s degree;Machine Learning Engineer;1-2 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;Under 1 year;250-999 employees;0;We are exploring ML methods (and may one day put a model into production);30,000-39,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5024;45-49;Man;Poland;Professional degree;Data Scientist;10-20 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;10-20 years;1000-9,999 employees;10-14;I do not know;30,000-39,999;$1000-$9,999;Google Cloud SQL ;;Local development environments (RStudio, JupyterLab, etc.)
5025;25-29;Man;United States of America;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;250-999 employees;20+;No (we do not use ML methods);70,000-79,999;$100-$999;SQLite ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
5026;22-24;Man;India;Bachelor’s degree;Data Scientist;3-5 years;R;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;2-3 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);10,000-14,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5027;30-34;Man;Belgium;Master’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;No (we do not use ML methods);3,000-3,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5028;50-54;Man;United States of America;Master’s degree;Machine Learning Engineer;10-20 years;Python;A personal computer or laptop;6-25 times;1-2 years;250-999 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);100,000-124,999;$1000-$9,999;Google Cloud BigQuery ;Tableau;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
5029;25-29;Man;China;Some college/university study without earning a bachelor’s degree;Data Analyst;1-2 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;1-2 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
5030;45-49;Man;Nigeria;Bachelor’s degree;Data Scientist;;;;;;;;;;;;;
5031;25-29;Man;India;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Once;Under 1 year;0-49 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$100-$999;MySQL ;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5032;40-44;Man;United States of America;Doctoral degree;Data Scientist;20+ years;Python;A personal computer or laptop;Never;5-10 years;50-249 employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);200,000-249,999;$10,000-$99,999;SQLite ;;Local development environments (RStudio, JupyterLab, etc.)
5033;22-24;Man;Portugal;Master’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;250-999 employees;3-4;No (we do not use ML methods);10,000-14,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5034;25-29;Man;India;Bachelor’s degree;Data Scientist;10-20 years;Python;A personal computer or laptop;2-5 times;2-3 years;10,000 or more employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);10,000-14,999;$1000-$9,999;;Qlik;Local development environments (RStudio, JupyterLab, etc.)
5035;60-69;Man;Germany;Professional degree;Machine Learning Engineer;20+ years;Python;A personal computer or laptop;2-5 times;5-10 years;50-249 employees;5-9;We are exploring ML methods (and may one day put a model into production);10,000-14,999;$10,000-$99,999;;;
5036;55-59;Man;United States of America;Master’s degree;Data Scientist;20+ years;Python;A personal computer or laptop;Once;20 or more years;0-49 employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;$100,000 or more ($USD);MySQL ;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5037;30-34;Man;Spain;Doctoral degree;Machine Learning Engineer;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;3-4 years;10,000 or more employees;3-4;We use ML methods for generating insights (but do not put working models into production);125,000-149,999;$10,000-$99,999;;;Local development environments (RStudio, JupyterLab, etc.)
5038;25-29;Man;United States of America;Master’s degree;Data Scientist;1-2 years;SQL;A personal computer or laptop;Never;2-3 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);100,000-124,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5039;25-29;Man;United States of America;Master’s degree;Machine Learning Engineer;3-5 years;C++;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;3-4 years;50-249 employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$10,000-$99,999;;;Other
5040;40-44;Man;United States of America;Some college/university study without earning a bachelor’s degree;Data Analyst;I have never written code;;;;;0-49 employees;1-2;;;;;;
5041;25-29;Man;Brazil;Professional degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;Under 1 year;10,000 or more employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);10,000-14,999;$10,000-$99,999;Google Cloud BigQuery ;;Local development environments (RStudio, JupyterLab, etc.)
5042;22-24;Man;Kenya;Bachelor’s degree;Data Analyst;< 1 years;R;A personal computer or laptop;Once;Under 1 year;;;;;;;;
5043;40-44;Man;Japan;Doctoral degree;Data Scientist;10-20 years;Python;A personal computer or laptop;Never;4-5 years;250-999 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);80,000-89,999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5044;40-44;Man;United States of America;Bachelor’s degree;Data Engineer;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;3-4 years;;;;;;;;
5045;35-39;Nonbinary;United States of America;Master’s degree;Data Scientist;3-5 years;R;A personal computer or laptop;2-5 times;Under 1 year;50-249 employees;15-19;We use ML methods for generating insights (but do not put working models into production);200,000-249,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5046;40-44;Man;Saudi Arabia;Bachelor’s degree;Machine Learning Engineer;I have never written code;;;;;50-249 employees;20+;;;;;;
5047;25-29;Woman;United States of America;Master’s degree;Data Scientist;5-10 years;R;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);2-5 times;5-10 years;1000-9,999 employees;15-19;We have well established ML methods (i.e., models in production for more than 2 years);200,000-249,999;$10,000-$99,999;Google Cloud BigQuery ;Microsoft Power BI;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5048;25-29;Man;Japan;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Once;2-3 years;1000-9,999 employees;1-2;We use ML methods for generating insights (but do not put working models into production);80,000-89,999;$100-$999;;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
5049;30-34;Man;France;Master’s degree;Machine Learning Engineer;3-5 years;R;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;2-3 years;1000-9,999 employees;1-2;We are exploring ML methods (and may one day put a model into production);2,000-2,999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
5050;35-39;Man;Spain;Doctoral degree;Data Scientist;5-10 years;Python;Other;Never;4-5 years;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);80,000-89,999;$1000-$9,999;;TIBCO Spotfire;Local development environments (RStudio, JupyterLab, etc.)
5051;30-34;Woman;Netherlands;Doctoral degree;Machine Learning Engineer;5-10 years;R;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);6-25 times;5-10 years;0-49 employees;0;I do not know;40,000-49,999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5052;25-29;Man;France;Doctoral degree;Data Engineer;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;250-999 employees;20+;I do not know;15,000-19,999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5053;25-29;Man;Chile;Doctoral degree;Data Scientist;3-5 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;3-4 years;10,000 or more employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);30,000-39,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5054;22-24;Man;Other;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;2-5 times;1-2 years;250-999 employees;10-14;We recently started using ML methods (i.e., models in production for less than 2 years);40,000-49,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
5055;30-34;Woman;Nigeria;Master’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;2-5 times;Under 1 year;0-49 employees;20+;We use ML methods for generating insights (but do not put working models into production);$0-999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
5056;25-29;Man;India;Bachelor’s degree;Data Engineer;3-5 years;Python;A personal computer or laptop;Once;1-2 years;10,000 or more employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);;;;;
5057;22-24;Man;Russia;Master’s degree;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;Never;2-3 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);25,000-29,999;$10,000-$99,999;;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
5058;30-34;Woman;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;4-5 years;1000-9,999 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);5,000-7,499;$100,000 or more ($USD);Amazon Athena ;;Local development environments (RStudio, JupyterLab, etc.)
5059;25-29;Man;Netherlands;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;3-4 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;$1000-$9,999;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
5060;35-39;Man;India;Professional degree;Data Scientist;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;3-4 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);80,000-89,999;$100-$999;MySQL ;Amazon QuickSight;
5061;35-39;Man;United States of America;Master’s degree;Data Engineer;10-20 years;Python;A personal computer or laptop;Never;1-2 years;250-999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);250,000-299,999;$100,000 or more ($USD);Amazon Redshift ;;Local development environments (RStudio, JupyterLab, etc.)
5062;25-29;Man;Italy;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;3-4;I do not know;40,000-49,999;$1000-$9,999;;;
5063;25-29;Man;Ukraine;Master’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;2-5 times;Under 1 year;0-49 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);5,000-7,499;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5064;22-24;Man;France;Master’s degree;Data Scientist;3-5 years;Bash;A personal computer or laptop;Never;2-3 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;$100,000 or more ($USD);;Other;Advanced statistical software (SPSS, SAS, etc.)
5065;30-34;Woman;Other;Master’s degree;Data Scientist;1-2 years;C++;None;Once;;;;;;;;;
5066;40-44;Woman;Nigeria;Master’s degree;Data Analyst;5-10 years;R;A personal computer or laptop;Never;2-3 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);2,000-2,999;$1000-$9,999;Microsoft SQL Server ;;Local development environments (RStudio, JupyterLab, etc.)
5067;18-21;Man;India;Bachelor’s degree;Machine Learning Engineer;< 1 years;R;A personal computer or laptop;Never;;;;;;;;;
5068;30-34;Man;Japan;Bachelor’s degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;4-5 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
5069;25-29;Man;Kenya;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;250-999 employees;3-4;No (we do not use ML methods);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5070;25-29;Man;Turkey;Bachelor’s degree;Data Analyst;1-2 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);6-25 times;1-2 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);10,000-14,999;$1000-$9,999;Google Cloud BigQuery ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
5071;35-39;Man;South Africa;Master’s degree;Data Scientist;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;5-10 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);60,000-69,999;$100-$999;MySQL ;Other;Local development environments (RStudio, JupyterLab, etc.)
5072;45-49;Man;United States of America;Master’s degree;Data Analyst;20+ years;R;A personal computer or laptop;Once;Under 1 year;50-249 employees;1-2;We are exploring ML methods (and may one day put a model into production);100,000-124,999;$10,000-$99,999;MySQL ;Tableau;Advanced statistical software (SPSS, SAS, etc.)
5073;22-24;Man;Taiwan;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;2-3 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);$0-999;$1-$99;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5074;30-34;Man;South Korea;Doctoral degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;I do not know;3,000-3,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5075;25-29;Man;India;Bachelor’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;250-999 employees;3-4;I do not know;$0-999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
5076;40-44;Man;Other;Master’s degree;Data Analyst;5-10 years;Python;;;;;;;;;;;
5077;30-34;Man;Other;Master’s degree;Machine Learning Engineer;5-10 years;Python;A personal computer or laptop;Never;5-10 years;0-49 employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);15,000-19,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5078;25-29;Man;Japan;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;1-2 years;1000-9,999 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
5079;18-21;Man;India;Bachelor’s degree;Data Scientist;1-2 years;R;Other;Never;Under 1 year;0-49 employees;1-2;No (we do not use ML methods);$0-999;$100,000 or more ($USD);MongoDB ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
5080;35-39;Woman;China;Master’s degree;Machine Learning Engineer;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;1-2 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);60,000-69,999;$100-$999;;;
5081;25-29;Man;Taiwan;Master’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Once;4-5 years;1000-9,999 employees;20+;We use ML methods for generating insights (but do not put working models into production);30,000-39,999;$1-$99;PostgresSQL ;;Local development environments (RStudio, JupyterLab, etc.)
5082;25-29;Man;India;Master’s degree;Data Analyst;< 1 years;SQL;A personal computer or laptop;;;;;;;;;;
5083;60-69;Man;United States of America;Master’s degree;Data Scientist;20+ years;R;Other;Never;5-10 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$100,000 or more ($USD);Oracle Database ;;Local development environments (RStudio, JupyterLab, etc.)
5084;22-24;Woman;Taiwan;Master’s degree;Data Engineer;1-2 years;Python;A personal computer or laptop;Once;1-2 years;50-249 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$100-$999;;;Advanced statistical software (SPSS, SAS, etc.)
5085;25-29;Man;Indonesia;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;6-25 times;1-2 years;50-249 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);5,000-7,499;$100,000 or more ($USD);Other;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
5086;25-29;Man;Greece;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;1-2 years;50-249 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);2,000-2,999;$100-$999;PostgresSQL ;;Local development environments (RStudio, JupyterLab, etc.)
5087;30-34;Woman;Brazil;Master’s degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;3-4 years;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);15,000-19,999;$100,000 or more ($USD);Microsoft Azure Data Lake Storage ;;Local development environments (RStudio, JupyterLab, etc.)
5088;30-34;Man;Canada;Master’s degree;Machine Learning Engineer;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);More than 25 times;5-10 years;50-249 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);150,000-199,999;$10,000-$99,999;;;Local development environments (RStudio, JupyterLab, etc.)
5089;60-69;Man;Other;Master’s degree;Data Scientist;20+ years;Javascript;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;1-2;No (we do not use ML methods);10,000-14,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5090;22-24;Man;India;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;1-2 years;50-249 employees;3-4;We are exploring ML methods (and may one day put a model into production);15,000-19,999;$100-$999;;;
5091;35-39;Man;France;Master’s degree;Data Scientist;10-20 years;Python;A personal computer or laptop;More than 25 times;20 or more years;50-249 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$10,000-$99,999;PostgresSQL ;;Local development environments (RStudio, JupyterLab, etc.)
5092;22-24;Man;Other;Master’s degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;2-5 times;Under 1 year;0-49 employees;1-2;No (we do not use ML methods);$0-999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
5093;25-29;Man;India;I prefer not to answer;Data Scientist;3-5 years;Python;A personal computer or laptop;Once;1-2 years;0-49 employees;3-4;We use ML methods for generating insights (but do not put working models into production);2,000-2,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5094;25-29;Woman;Turkey;Doctoral degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;3-4 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);4,000-4,999;$1000-$9,999;;;Other
5095;22-24;Man;Other;Doctoral degree;Data Analyst;1-2 years;Python;;;;;;;;;;;
5096;45-49;Man;Brazil;Doctoral degree;Data Analyst;10-20 years;Python;A personal computer or laptop;Never;5-10 years;0-49 employees;3-4;We use ML methods for generating insights (but do not put working models into production);15,000-19,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5097;25-29;Woman;India;Bachelor’s degree;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;Never;2-3 years;10,000 or more employees;20+;;;;;;
5098;22-24;Woman;Russia;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;1-2 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);25,000-29,999;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5099;40-44;Man;Argentina;Master’s degree;Data Scientist;< 1 years;R;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5100;45-49;Man;Spain;No formal education past high school;Data Analyst;3-5 years;SQL;A personal computer or laptop;Never;4-5 years;1000-9,999 employees;3-4;We use ML methods for generating insights (but do not put working models into production);50,000-59,999;$10,000-$99,999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5101;35-39;Man;Canada;Doctoral degree;Machine Learning Engineer;10-20 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);2-5 times;5-10 years;0-49 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);80,000-89,999;$1000-$9,999;SQLite ;;Advanced statistical software (SPSS, SAS, etc.)
5102;35-39;Man;Japan;Bachelor’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Once;1-2 years;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);7,500-9,999;$1-$99;;;
5103;30-34;Man;United States of America;Master’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;1-2 years;250-999 employees;5-9;I do not know;1,000-1,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5104;35-39;Man;Germany;Doctoral degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;1-2 years;250-999 employees;3-4;We are exploring ML methods (and may one day put a model into production);70,000-79,999;$1000-$9,999;SQLite ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5105;25-29;Man;India;Professional degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;3-4 years;250-999 employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);15,000-19,999;$1-$99;;Qlik;Local development environments (RStudio, JupyterLab, etc.)
5106;25-29;Man;Japan;Bachelor’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;3-4 years;250-999 employees;0;No (we do not use ML methods);60,000-69,999;$1000-$9,999;Google Cloud BigQuery ;Tableau;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5107;60-69;Man;United Kingdom of Great Britain and Northern Ireland;Doctoral degree;Data Scientist;20+ years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);More than 25 times;20 or more years;50-249 employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;$100,000 or more ($USD);PostgresSQL ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
5108;18-21;Man;India;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
